city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tweeling,-27.5500,28.5167,South Africa,ZA,Free State,,6465,6465
Vanrhynsdorp,-31.6167,18.7333,South Africa,ZA,Western Cape,,6272,6272
Klawer,-31.7833,18.6167,South Africa,ZA,Western Cape,,6234,6234
Elsburg,-26.2450,28.1970,South Africa,ZA,Gauteng,,6231,6231
Olifantshoek,-23.3400,30.2770,South Africa,ZA,Limpopo,,5976,5976
Genadendal,-34.0333,19.5500,South Africa,ZA,Western Cape,,5663,5663
eManguzi,-26.9960,32.7520,South Africa,ZA,KwaZulu-Natal,,5534,5534
Botrivier,-34.2258,19.2050,South Africa,ZA,Western Cape,,5505,5505
Oberholzer,-26.3470,27.3820,South Africa,ZA,Gauteng,,5397,5397
Mount Ayliff,-30.8092,29.3669,South Africa,ZA,Eastern Cape,,5367,5367
Mount Frere,-30.9167,28.9833,South Africa,ZA,Eastern Cape,,5252,5252
Riviersonderend,-34.1503,19.9144,South Africa,ZA,Western Cape,,5245,5245
Kenton on Sea,-33.6830,26.6590,South Africa,ZA,Eastern Cape,,5154,5154
Flagstaff,-31.0800,29.5044,South Africa,ZA,Eastern Cape,,4821,4821
Waterkloof,-25.7750,28.2417,South Africa,ZA,Gauteng,,4820,4820
Sonop,-25.6480,27.6980,South Africa,ZA,North West,,4659,4659
Libode,-31.5333,29.0167,South Africa,ZA,Eastern Cape,,4560,4560
Bluewater Bay,-33.8567,25.6294,South Africa,ZA,Eastern Cape,,4530,4530
Riebeek-Wes,-33.3505,18.8674,South Africa,ZA,Western Cape,,4350,4350
Sibasa,-22.9320,30.4670,South Africa,ZA,Limpopo,,4314,4314
Uvongo Beach,-30.8167,30.3833,South Africa,ZA,KwaZulu-Natal,,4288,4288
Sandbaai,-34.4190,19.1940,South Africa,ZA,Western Cape,,4102,4102
Lusikisiki,-31.3680,29.5760,South Africa,ZA,Eastern Cape,,4028,4028
Chrissiesmeer,-26.2780,30.2130,South Africa,ZA,Mpumalanga,,4012,4012
Schulzendal,-25.7490,31.5400,South Africa,ZA,Mpumalanga,,3659,3659
Rooiboklaagte,-24.6550,31.0670,South Africa,ZA,Mpumalanga,,3650,3650
Madikwe,-25.3550,26.5300,South Africa,ZA,North West,,3623,3623
Malelane,-25.4833,31.5167,South Africa,ZA,Mpumalanga,,3486,3486
Warner Beach,-30.0850,30.8620,South Africa,ZA,KwaZulu-Natal,,3453,3453
Richmond,-29.8667,30.2667,South Africa,ZA,KwaZulu-Natal,,3349,3349
Shakaskraal,-29.4500,31.2167,South Africa,ZA,KwaZulu-Natal,,3296,3296
New Hanover,-29.3500,30.5333,South Africa,ZA,KwaZulu-Natal,,3175,3175
Komaggas,-29.8000,17.5000,South Africa,ZA,Northern Cape,,3116,3116
Rawsonville,-33.6847,19.3150,South Africa,ZA,Western Cape,,3099,3099
Gannalaagte,-26.4640,25.5300,South Africa,ZA,North West,,2830,2830
Fontainebleau,-26.1037,27.9766,South Africa,ZA,Gauteng,,2826,2826
Sheepmoor,-26.7186,30.2989,South Africa,ZA,Mpumalanga,,2727,2727
Lesseyton,-31.8330,26.7660,South Africa,ZA,Eastern Cape,,2715,2715
Ngqeleni,-31.6700,29.0280,South Africa,ZA,Eastern Cape,,2629,2629
Roossenekal,-25.1950,29.9250,South Africa,ZA,Mpumalanga,,2625,2625
Doonside,-30.0700,30.8710,South Africa,ZA,KwaZulu-Natal,,2596,2596
Abbotspoort,-23.4530,28.0930,South Africa,ZA,Limpopo,,2489,2489
Hlabisa,-28.1333,31.8667,South Africa,ZA,KwaZulu-Natal,,2469,2469
Nelspruit,-25.4745,30.9703,South Africa,ZA,Mpumalanga,admin,,
